VM;Powerstate;Template;CPUs;NICs
MFAB16SRV07;poweredOn;False;4;1
MFAB16SRV08;poweredOn;False;4;1
mfersrv01;poweredOn;False;8;1
mfsjmpsrv01;poweredOn;False;4;1
mgadsrv01;poweredOn;False;4;1
mgbxktsrv01;poweredOn;False;4;1
mkmssrv01;poweredOn;False;4;1
mp2lfpymsrv01;poweredOn;False;4;1
mp2lfpymsrv02;poweredOn;False;2;1
MRTBDCA01NXA;poweredOn;False;12;2
MRTBDCA03SGC;poweredOn;False;16;6
MRTBDCB03SGC;poweredOn;False;16;6
MSCCMSRV01;poweredOn;False;4;1
MSCCMSRV02;poweredOn;False;8;1
msgacrosrv03;poweredOn;False;4;1
msgp2lsrv01;poweredOn;False;4;1
msgp2lsrv02;poweredOn;False;4;2
mtsdevsrv01;poweredOn;False;2;1
mtspsrv01tmp;poweredOn;False;4;1
NO APAGAR 0_BAJA_15112023_OPERACIONES_CR20689219_ESSEATMAS46701;poweredOn;False;2;1
reporter105-internet;poweredOn;False;8;1
SEESMTSAPAOP211;poweredOn;False;2;1
SEESMTSAPAOP212;poweredOn;False;2;1
SEESMTSAPAOP213;poweredOn;False;2;1
SEESMTSAPAOP214;poweredOn;False;2;1
SEESMTSAPAUC001;poweredOn;False;1;1
SEESMTSAPAUC002;poweredOn;False;1;1
SEESMTSAPAUP001;poweredOn;False;2;1
SEESMTSAPAUP002;poweredOn;False;2;1
SEESMTSAPAUP249;poweredOn;False;2;2
SEESMTSAPAUP250;poweredOn;False;4;1
SEESMTSAPAUP251;poweredOn;False;4;2
SEESMTSAPAUP266;poweredOn;False;14;1
SEESMTSAPAUP267;poweredOn;False;14;1
SEESMTSAPAUP280;poweredOn;False;2;1
SEESMTSAPAUP283;poweredOn;False;4;1
SEESMTSAPAUP311;poweredOn;False;2;1
SEESMTSAPAUP321;poweredOn;False;2;1
SEESMTSAPAUP341;poweredOn;False;2;1
SEESMTSAPAUP342;poweredOn;False;2;1
SEESMTSAPAUP343;poweredOn;False;2;1
SEESMTSAPAUP344;poweredOn;False;4;1
SEESMTSAPAUP345;poweredOn;False;4;1
SEESMTSAPAUP372;poweredOn;False;4;1
SEESMTSAPAUZ023;poweredOn;False;16;1
SEESMTSAPAWC001;poweredOn;False;4;1
SEESMTSAPAWC002;poweredOn;False;4;1
SEESMTSAPAWC003;poweredOn;False;4;1
SEESMTSAPAWC518;poweredOn;False;4;2
SEESMTSAPAWC519;poweredOn;False;4;2
SEESMTSAPAWC520;poweredOn;False;4;2
SEESMTSAPAWC521;poweredOn;False;2;2
SEESMTSAPAWP001;poweredOn;False;2;1
SEESMTSAPAWP004;poweredOff;False;8;1
SEESMTSAPAWP005;poweredOff;False;2;1
SEESMTSAPAWP006;poweredOn;False;4;1
SEESMTSAPAWP007;poweredOn;False;4;1
SEESMTSAPAWP008;poweredOff;False;4;1
SEESMTSAPAWP009;poweredOff;False;4;1
SEESMTSAPAWP010;poweredOn;False;4;1
SEESMTSAPAWP011;poweredOn;False;4;1
SEESMTSAPAWP417;poweredOn;False;8;1
SEESMTSAPAWP418;poweredOn;False;2;1
SEESMTSAPAWP419;poweredOn;False;2;2
SEESMTSAPAWP420;poweredOn;False;8;1
SEESMTSAPAWP421;poweredOn;False;8;1
SEESMTSAPAWP423;poweredOn;False;16;1
SEESMTSAPAWP424;poweredOn;False;16;1
SEESMTSAPAWP426;poweredOn;False;4;1
SEESMTSAPAWP427;poweredOn;False;4;1
SEESMTSAPAWP428;poweredOn;False;4;1
SEESMTSAPAWP429;poweredOn;False;4;1
SEESMTSAPAWP430;poweredOn;False;4;1
SEESMTSAPAWP431;poweredOn;False;2;1
SEESMTSAPAWP432;poweredOn;False;2;1
SEESMTSAPAWP433;poweredOn;False;2;1
SEESMTSAPAWP434;poweredOn;False;2;1
SEESMTSAPAWP442;poweredOn;False;2;1
SEESMTSAPAWP443;poweredOn;False;2;1
SEESMTSAPAWP444;poweredOn;False;2;1
SEESMTSAPAWP445;poweredOn;False;4;1
SEESMTSAPAWP446;poweredOn;False;2;1
SEESMTSAPAWP447;poweredOn;False;2;1
SEESMTSAPAWP448;poweredOn;False;4;1
SEESMTSAPAWP449;poweredOn;False;2;1
SEESMTSAPAWP451;poweredOn;False;2;1
SEESMTSAPAWP452;poweredOn;False;4;1
SEESMTSAPAWP464;poweredOn;False;4;1
SEESMTSAPAWP465;poweredOn;False;4;1
SEESMTSAPAWP466;poweredOn;False;4;1
SEESMTSAPAWP467;poweredOn;False;4;1
SEESMTSAPAWP473;poweredOn;False;8;1
SEESMTSAPAWP474;poweredOn;False;16;1
SEESMTSAPAWP475;poweredOn;False;2;1
SEESMTSAPAWP477;poweredOn;False;8;1
SEESMTSAPAWP528;poweredOn;False;2;1
SEESMTSAPAWP616;poweredOn;False;6;1
SEESMTSAPAWP618;poweredOn;False;2;1
SEESMTSAPAWP619;poweredOn;False;4;1
SEESMTSAPAWP620;poweredOn;False;4;1
SEESMTSAPAWP621;poweredOn;False;4;1
SEESMTSAPAWP623;poweredOn;False;2;1
SEESMTSAPAWP624;poweredOn;False;2;1
SEESMTSAPAWP627;poweredOn;False;2;1
